asin	itemID
0000031887	0
0123456479	1
1608299953	2
1617160377	3
B00001W0KA	4
B00001WRHJ	5
B00004SR8W	6
B00004SR8Z	7
B00004SR9P	8
B00004U1J2	9
B000051SEN	10
B000051SEP	11
B00005JHKE	12
B00005JSBK	13
B00005KJXN	14
B00005TQI7	15
B0000643Q8	16
B000067R84	17
B00006I551	18
B00006XXGO	19
B0000722HK	20
B000072UMJ	21
B000074RL3	22
B000078CYM	23
B00007AS82	24
B00007FFL9	25
B00007GD8X	26
B00007GD9I	27
B00007GD9W	28
B00007GDAL	29
B00007GDD3	30
B00007GDG5	31
B00007IVVR	32
B000086211	33
B0000862FI	34
B0000864CZ	35
B0000865II	36
B0000866JI	37
B000086778	38
B0000867AN	39
B0000867GG	40
B0000867ON	41
B0000868O9	42
B000086910	43
B00008695M	44
B0000869QI	45
B000086Q9O	46
B0000891IO	47
B0000891K0	48
B00008AALU	49
B00008ECKG	50
B00008I8YM	51
B00008ID0B	52
B00008ID0L	53
B00008ID1O	54
B00008ID39	55
B00008IEUW	56
B00008IOHR	57
B00008IPCG	58
B00008KH9C	59
B00008KI3U	60
B00008LUS5	61
B00009ESZI	62
B00009OXE8	63
B00009QB5V	64
B00009QMR3	65
B00009R881	66
B00009WM7J	67
B00009ZM7Z	68
B0000A4ZJD	69
B0000A51FU	70
B0000A522N	71
B0000A53UX	72
B0000AI44G	73
B0000ANAKR	74
B0000ANC7S	75
B0000ANDEI	76
B0000ANDJY	77
B0000ANDU4	78
B0000ANECK	79
B0000ANEXJ	80
B0000ANHST	81
B0000ASDJH	82
B0000ASFDC	83
B0000ASFQL	84
B0000ASH2G	85
B0000AT3NT	86
B0000AT7N2	87
B0000ATP8L	88
B0000AU0DH	89
B0000AUTD6	90
B0000AWHQ4	91
B0000AX6DE	92
B0000AZ10F	93
B0000AZ10I	94
B0000B35D3	95
B0000B35D8	96
B0000B35D9	97
B0000B35DB	98
B0000B35EG	99
B0000B35EI	100
B0000B35EL	101
B0000B35EM	102
B0000B35EQ	103
B0000B35G6	104
B0000B35GE	105
B0000B35GL	106
B0000B3DUK	107
B0000BNEQJ	108
B0000BNGCD	109
B0000BW6IN	110
B0000BX8L1	111
B0000C321X	112
B0000C9ZB8	113
B0000C9ZBX	114
B0000C9ZBZ	115
B0000C9ZD1	116
B0000C9ZDD	117
B0000CBDQS	118
B0000CBXEI	119
B0000CNR1L	120
B0000DCS5T	121
B0000DD6C2	122
B0000DYKET	123
B0000DYNCD	124
B0000DYNCP	125
B0000DYNJ3	126
B0000DZJL4	127
B0000DZUZ1	128
B0000E0125	129
B0000E015O	130
B0000E0VGY	131
B0000E0VIJ	132
B0000E1VS3	133
B0000T0N8K	134
B0000TII00	135
B0000TII0K	136
B0000TII3C	137
B0000TIIH8	138
B0000TIIPA	139
B0000TIIPK	140
B0000TIIRS	141
B0000TIIZ0	142
B0000TIJ4U	143
B0000TIJ72	144
B0000TIJ7C	145
B0000TIKK8	146
B0000TQJU6	147
B0000TSIKK	148
B0000TW2AC	149
B0000TW41Y	150
B0000UIUNE	151
B0000UIY3U	152
B0000UZ5P0	153
B0000V9E3S	154
B0000VC1OC	155
B0000W2GGE	156
B0000WL0WA	157
B0000WL1Q0	158
B0000WL386	159
B0000WL7HI	160
B0000WL9HQ	161
B0000WLSCW	162
B0000X5EJO	163
B0000X5FAM	164
B0000Y5T7A	165
B0000YEC8C	166
B0000YECC8	167
B0000ZBSBU	168
B0000ZBSGU	169
B0000ZC8GO	170
B0000ZCB7U	171
B0000ZCE0O	172
B0000ZCENG	173
B0000ZCH4W	174
B0000ZD54S	175
B0000ZDSDG	176
B0000ZE4ZW	177
B0000ZE6AK	178
B0000ZE74A	179
B0000ZE7K4	180
B0000ZEPGA	181
B0000ZFEWY	182
B0000ZFHAI	183
B0000ZFHJY	184
B0000ZFIOS	185
B0000ZFIWK	186
B0000ZFRG2	187
B0000ZFROO	188
B0000ZSJ9E	189
B00011VJ7Q	190
B00012O12A	191
B0001455AU	192
B0001464AA	193
B0001475WG	194
B000147990	195
B000147UNU	196
B00014861K	197
B00014DZ2K	198
B000158R2M	199
B00015HKH0	200
B000163G90	201
B00016QOTE	202
B00018CAUY	203
B00018HRU2	204
B00018TMDC	205
B000196UJ0	206
B00019MH42	207
B0001DYW64	208
B0001DYW9G	209
B0001H0BLA	210
B0001HIT0U	211
B0001HIT1Y	212
B0001HKKPW	213
B0001I9WMI	214
B0001IA06U	215
B0001LMRH2	216
B0001LMRWM	217
B0001M3UWW	218
B0001MQ60A	219
B0001NLS6Q	220
B0001NLSFW	221
B0001NLTHE	222
B0001VJ2V6	223
B0001VNCJ4	224
B0001VOD4C	225
B0001VWSFS	226
B0001WD5RC	227
B0001XH7X4	228
B0001XLSWA	229
B0001XVUFA	230
B0001Y3O44	231
B0001Y8YBW	232
B0001YR4FE	233
B0001YR4S6	234
B0001YR54O	235
B0001YR55I	236
B0001YRAT4	237
B0001YRJSG	238
B0001YRMW4	239
B0001YROC2	240
B0001YRWE2	241
B0001YRY9A	242
B0001YRYIQ	243
B0001YRYOK	244
B0001YS25K	245
B0001YS3NG	246
B0001YS502	247
B0001YS56Q	248
B0001YSBEW	249
B0001YWBG6	250
B0001ZNZF6	251
B0001ZNZJM	252
B0001ZO3WU	253
B000200JQI	254
B00020BFSE	255
B00020J0SQ	256
B00020J0ZE	257
B00020J0ZO	258
B00020J16M	259
B00020J1GW	260
B00020ZUC6	261
B00021NXSI	262
B00021NY28	263
B0002291TW	264
B00022JPNE	265
B00022RGTY	266
B00023JMYU	267
B00023JONO	268
B00023JPMO	269
B00023K3YS	270
B00023K6CW	271
B00023K6G8	272
B00023KM0S	273
B00023S8IQ	274
B00024EK0U	275
B00024QELS	276
B00024QVRA	277
B00024QZX0	278
B00024W9YY	279
B00024WB24	280
B00024WC8W	281
B00024WL92	282
B00024WOTY	283
B0002639KK	284
B00026UM5A	285
B00028B4U0	286
B00028NLRE	287
B000297L38	288
B00029BKAI	289
B00029PJKA	290
B00029PL5S	291
B00029R7Y6	292
B00029R84A	293
B0002A4K04	294
B0002AAPQM	295
B0002AAPW6	296
B0002BGQYQ	297
B0002CKD1M	298
B0002CQIXY	299
B0002CZKK6	300
B0002D8GFG	301
B0002DG7ZM	302
B0002DG88I	303
B0002E42CG	304
B0002EJ4XS	305
B0002FHFZQ	306
B0002FHGBO	307
B0002FHIM6	308
B0002FHIMQ	309
B0002FHIVM	310
B0002FHIWQ	311
B0002FZRD8	312
B0002IC652	313
B0002JA0WC	314
B0002JTUVE	315
B0002JUEKU	316
B0002KNLS6	317
B0002KWZ3I	318
B0002L01YC	319
B0002L0P9I	320
B0002L4MZQ	321
B0002LI7AW	322
B0002LI8QA	323
B0002LICNO	324
B0002LKLPQ	325
B0002LT742	326
B0002LTFXU	327
B0002LY6BQ	328
B0002M0AQK	329
B0002M1RPI	330
B0002M4VG0	331
B0002M59PC	332
B0002M6MBM	333
B0002M7PWW	334
B0002M8PIA	335
B0002M9DO0	336
B0002MAZ56	337
B0002MB8DY	338
B0002MB9GK	339
B0002MFOFC	340
B0002MFU3I	341
B0002MGM30	342
B0002MIXYG	343
B0002NYMD6	344
B0002NYPYW	345
B0002NYQN2	346
B0002NYUAQ	347
B0002NYVOG	348
B0002NZ0LO	349
B0002NZ1S6	350
B0002NZAVO	351
B0002OQ86E	352
B0002OQ9OU	353
B0002P5S0U	354
B0002P9IJW	355
B0002PNJT2	356
B0002PO0RW	357
B0002Q8K7M	358
B0002QRZZ0	359
B0002QTQA2	360
B0002QV9ZW	361
B0002QVA2E	362
B0002QVH9A	363
B0002QVHCC	364
B0002REM50	365
B0002RRMZ2	366
B0002SPNA2	367
B0002THUPC	368
B0002THW64	369
B0002THZL6	370
B0002TOR3U	371
B0002TORBM	372
B0002TORIU	373
B0002TORTO	374
B0002TORVW	375
B0002TOS02	376
B0002TOS7A	377
B0002TOSL6	378
B0002TOSWK	379
B0002TOTA6	380
B0002TOUDW	381
B0002TOW8A	382
B0002TOXL6	383
B0002TOYTW	384
B0002TOZ00	385
B0002TOZ1E	386
B0002TOZ1Y	387
B0002TOZ2S	388
B0002TVB70	389
B0002U71R8	390
B0002UCES4	391
B0002UD2YO	392
B0002UD438	393
B0002UNNBG	394
B0002USAW8	395
B0002UU56M	396
B0002V9J5Y	397
B0002VA3C2	398
B0002VG2XG	399
B0002VN5KY	400
B0002X66TE	401
B0002XM9DG	402
B0002XROVS	403
B0002XSUNE	404
B0002XSXWC	405
B0002YEX2U	406
B0002YISH6	407
B0002Z1KR0	408
B0002ZJBYE	409
B0002ZOQZ8	410
B00030B1GO	411
B00030FHXC	412
B00031TW6E	413
B00031XFL2	414
B0003216GM	415
B0003DJD0C	416
B0003DKV8K	417
B0003YDZG4	418
B00061M20E	419
B00061NHYE	420
B00061RG1O	421
B00061RGDW	422
B00062B1IC	423
B00062N43M	424
B00062NFH2	425
B00062NHCK	426
B00062NHGQ	427
B00062NHJI	428
B00062NN42	429
B00062NNLK	430
B00062NOFU	431
B00062RD02	432
B000632S9M	433
B00063J8MW	434
B00063W3GA	435
B00063W5FE	436
B00064NP9I	437
B00064UU1Y	438
B00064V6LM	439
B000655TUA	440
B00065FWR0	441
B00065I9RK	442
B00065JZSW	443
B00065TDCU	444
B000661RC8	445
B000662EL6	446
B00066G516	447
B00066IT3I	448
B00066TWMU	449
B00066W5G0	450
B000673JT6	451
B00067G3D0	452
B00067G3L2	453
B000685PV0	454
B00068TIGI	455
B00068TJ76	456
B00068TJIU	457
B00068TJM6	458
B00068VGOU	459
B0006AAS4M	460
B0006AAS56	461
B0006AAS5G	462
B0006AAS5Q	463
B0006AAS7E	464
B0006B58LO	465
B0006BBIEA	466
B0006DQ2IK	467
B0006FKJPU	468
B0006FUCIO	469
B0006GK61Q	470
B0006GK8V4	471
B0006GN9II	472
B0006GXO8S	473
B0006GYLOE	474
B0006GZ32I	475
B0006H5MI2	476
B0006HCSRA	477
B0006HEIM8	478
B0006HL0FG	479
B0006I3MAQ	480
B0006I3SBY	481
B0006I3W1K	482
B0006I42UK	483
B0006I49Y4	484
B0006I6UO6	485
B0006I7I0Q	486
B0006I7IA6	487
B0006I7IGK	488
B0006I9X0Y	489
B0006I9YK8	490
B0006IEWWI	491
B0006IHHMU	492
B0006IIV16	493
B0006IT6JC	494
B0006IXB0W	495
B0006IXBJ8	496
B0006IXC42	497
B0006IXC8I	498
B0006JALE0	499
B0006JAMAI	500
B0006JAMLM	501
B0006JCGUM	502
B0006JKZ0U	503
B0006L31QS	504
B0006L4WCA	505
B0006L51Z2	506
B0006LBXUY	507
B0006LJ8B0	508
B0006LJLMG	509
B0006LK2ZQ	510
B0006LKS6O	511
B0006LMBJ6	512
B0006LPK7G	513
B0006LPXYQ	514
B0006LQGNS	515
B0006M1VXW	516
B0006MFKJS	517
B0006MT8LE	518
B0006MY4EU	519
B0006MZGHO	520
B0006MZHKA	521
B0006N53S0	522
B0006N5MY0	523
B0006NAS7Q	524
B0006NH3G0	525
B0006NKR68	526
B0006NU6KK	527
B0006NW8JC	528
B0006NWTFU	529
B0006OAT1K	530
B0006OATG0	531
B0006OGJZK	532
B0006PQH1K	533
B0006SCZMM	534
B0006SCZU4	535
B0006U04NW	536
B0006U04ZA	537
B0006U3E9S	538
B0006U3G5A	539
B0006U67WE	540
B0006U68M8	541
B0006U695E	542
B0006U6D3M	543
B0006UD6O6	544
B0006UD740	545
B0006UHRJQ	546
B0006UL2IS	547
B0006USFIS	548
B0006UTPT6	549
B0006UZWDO	550
B0006UZX9M	551
B0006UZXII	552
B0006UZXRO	553
B0006VBFM0	554
B0006VN9EW	555
